# time  ID  size  fromHost  toHost  TTL  isResponse
60.0000 M1$1 10000 s0 p100 60 N 
60.0000 M2$1 10000 s1 p102 60 N 
60.0000 M3$1 10000 s2 p104 60 N 
60.0000 M4$1 10000 s3 p103 60 N 
60.0000 M5$1 10000 s4 p100 60 N 
60.0000 M6$1 10000 s5 p104 60 N 
60.0000 M7$1 10000 s6 p101 60 N 
60.0000 M8$1 10000 s7 p101 60 N 
60.0000 M9$1 10000 s8 p100 60 N 
60.0000 M10$1 10000 s9 p102 60 N 
60.0000 M11$1 10000 s10 p101 60 N 
60.0000 M12$1 10000 s11 p103 60 N 
60.0000 M13$1 10000 s12 p103 60 N 
60.0000 M14$1 10000 s13 p100 60 N 
60.0000 M15$1 10000 s14 p104 60 N 
60.0000 M16$1 10000 s15 p101 60 N 
60.0000 M17$1 10000 s16 p100 60 N 
60.0000 M18$1 10000 s17 p102 60 N 
60.0000 M19$1 10000 s18 p104 60 N 
60.0000 M20$1 10000 s19 p101 60 N 
60.0000 M21$1 10000 s20 p104 60 N 
60.0000 M22$1 10000 s21 p103 60 N 
60.0000 M23$1 10000 s22 p100 60 N 
60.0000 M24$1 10000 s23 p104 60 N 
60.0000 M25$1 10000 s24 p101 60 N 
60.0000 M26$1 10000 s25 p101 60 N 
60.0000 M27$1 10000 s26 p102 60 N 
60.0000 M28$1 10000 s27 p101 60 N 
60.0000 M29$1 10000 s28 p103 60 N 
60.0000 M30$1 10000 s29 p100 60 N 
60.0000 M31$1 10000 s30 p100 60 N 
60.0000 M32$1 10000 s31 p102 60 N 
60.0000 M33$1 10000 s32 p102 60 N 
60.0000 M34$1 10000 s33 p104 60 N 
60.0000 M35$1 10000 s34 p102 60 N 
60.0000 M36$1 10000 s35 p104 60 N 
60.0000 M37$1 10000 s36 p104 60 N 
60.0000 M38$1 10000 s37 p101 60 N 
60.0000 M39$1 10000 s38 p100 60 N 
60.0000 M40$1 10000 s39 p101 60 N 
60.0000 M41$1 10000 s40 p103 60 N 
60.0000 M42$1 10000 s41 p103 60 N 
60.0000 M43$1 10000 s42 p102 60 N 
60.0000 M44$1 10000 s43 p102 60 N 
60.0000 M45$1 10000 s44 p104 60 N 
60.0000 M46$1 10000 s45 p103 60 N 
60.0000 M47$1 10000 s46 p104 60 N 
60.0000 M48$1 10000 s47 p104 60 N 
60.0000 M49$1 10000 s48 p101 60 N 
60.0000 M50$1 10000 s49 p103 60 N 
120.0000 M1$2 10000 s0 p103 60 N 
120.0000 M2$2 10000 s1 p101 60 N 
120.0000 M3$2 10000 s2 p100 60 N 
120.0000 M4$2 10000 s3 p102 60 N 
120.0000 M5$2 10000 s4 p101 60 N 
120.0000 M6$2 10000 s5 p101 60 N 
120.0000 M7$2 10000 s6 p104 60 N 
120.0000 M8$2 10000 s7 p104 60 N 
120.0000 M9$2 10000 s8 p101 60 N 
120.0000 M10$2 10000 s9 p103 60 N 
120.0000 M11$2 10000 s10 p104 60 N 
120.0000 M12$2 10000 s11 p102 60 N 
120.0000 M13$2 10000 s12 p102 60 N 
120.0000 M14$2 10000 s13 p100 60 N 
120.0000 M15$2 10000 s14 p104 60 N 
120.0000 M16$2 10000 s15 p104 60 N 
120.0000 M17$2 10000 s16 p101 60 N 
120.0000 M18$2 10000 s17 p100 60 N 
120.0000 M19$2 10000 s18 p102 60 N 
120.0000 M20$2 10000 s19 p101 60 N 
120.0000 M21$2 10000 s20 p104 60 N 
120.0000 M22$2 10000 s21 p104 60 N 
120.0000 M23$2 10000 s22 p103 60 N 
120.0000 M24$2 10000 s23 p101 60 N 
120.0000 M25$2 10000 s24 p101 60 N 
120.0000 M26$2 10000 s25 p101 60 N 
120.0000 M27$2 10000 s26 p103 60 N 
120.0000 M28$2 10000 s27 p102 60 N 
120.0000 M29$2 10000 s28 p101 60 N 
120.0000 M30$2 10000 s29 p101 60 N 
120.0000 M31$2 10000 s30 p101 60 N 
120.0000 M32$2 10000 s31 p104 60 N 
120.0000 M33$2 10000 s32 p104 60 N 
120.0000 M34$2 10000 s33 p104 60 N 
120.0000 M35$2 10000 s34 p101 60 N 
120.0000 M36$2 10000 s35 p101 60 N 
120.0000 M37$2 10000 s36 p100 60 N 
120.0000 M38$2 10000 s37 p104 60 N 
120.0000 M39$2 10000 s38 p102 60 N 
120.0000 M40$2 10000 s39 p102 60 N 
120.0000 M41$2 10000 s40 p102 60 N 
120.0000 M42$2 10000 s41 p100 60 N 
120.0000 M43$2 10000 s42 p100 60 N 
120.0000 M44$2 10000 s43 p100 60 N 
120.0000 M45$2 10000 s44 p100 60 N 
120.0000 M46$2 10000 s45 p102 60 N 
120.0000 M47$2 10000 s46 p100 60 N 
120.0000 M48$2 10000 s47 p101 60 N 
120.0000 M49$2 10000 s48 p100 60 N 
120.0000 M50$2 10000 s49 p103 60 N 
180.0000 M1$3 10000 s0 p103 60 N 
180.0000 M2$3 10000 s1 p103 60 N 
180.0000 M3$3 10000 s2 p100 60 N 
180.0000 M4$3 10000 s3 p104 60 N 
180.0000 M5$3 10000 s4 p104 60 N 
180.0000 M6$3 10000 s5 p102 60 N 
180.0000 M7$3 10000 s6 p104 60 N 
180.0000 M8$3 10000 s7 p102 60 N 
180.0000 M9$3 10000 s8 p103 60 N 
180.0000 M10$3 10000 s9 p103 60 N 
180.0000 M11$3 10000 s10 p102 60 N 
180.0000 M12$3 10000 s11 p104 60 N 
180.0000 M13$3 10000 s12 p103 60 N 
180.0000 M14$3 10000 s13 p100 60 N 
180.0000 M15$3 10000 s14 p104 60 N 
180.0000 M16$3 10000 s15 p103 60 N 
180.0000 M17$3 10000 s16 p102 60 N 
180.0000 M18$3 10000 s17 p104 60 N 
180.0000 M19$3 10000 s18 p103 60 N 
180.0000 M20$3 10000 s19 p101 60 N 
180.0000 M21$3 10000 s20 p103 60 N 
180.0000 M22$3 10000 s21 p101 60 N 
180.0000 M23$3 10000 s22 p101 60 N 
180.0000 M24$3 10000 s23 p103 60 N 
180.0000 M25$3 10000 s24 p102 60 N 
180.0000 M26$3 10000 s25 p103 60 N 
180.0000 M27$3 10000 s26 p103 60 N 
180.0000 M28$3 10000 s27 p102 60 N 
180.0000 M29$3 10000 s28 p104 60 N 
180.0000 M30$3 10000 s29 p104 60 N 
180.0000 M31$3 10000 s30 p104 60 N 
180.0000 M32$3 10000 s31 p101 60 N 
180.0000 M33$3 10000 s32 p104 60 N 
180.0000 M34$3 10000 s33 p101 60 N 
180.0000 M35$3 10000 s34 p103 60 N 
180.0000 M36$3 10000 s35 p100 60 N 
180.0000 M37$3 10000 s36 p100 60 N 
180.0000 M38$3 10000 s37 p100 60 N 
180.0000 M39$3 10000 s38 p104 60 N 
180.0000 M40$3 10000 s39 p104 60 N 
180.0000 M41$3 10000 s40 p103 60 N 
180.0000 M42$3 10000 s41 p102 60 N 
180.0000 M43$3 10000 s42 p101 60 N 
180.0000 M44$3 10000 s43 p103 60 N 
180.0000 M45$3 10000 s44 p100 60 N 
180.0000 M46$3 10000 s45 p104 60 N 
180.0000 M47$3 10000 s46 p104 60 N 
180.0000 M48$3 10000 s47 p100 60 N 
180.0000 M49$3 10000 s48 p102 60 N 
180.0000 M50$3 10000 s49 p103 60 N 
240.0000 M1$4 10000 s0 p104 60 N 
240.0000 M2$4 10000 s1 p102 60 N 
240.0000 M3$4 10000 s2 p100 60 N 
240.0000 M4$4 10000 s3 p104 60 N 
240.0000 M5$4 10000 s4 p101 60 N 
240.0000 M6$4 10000 s5 p101 60 N 
240.0000 M7$4 10000 s6 p104 60 N 
240.0000 M8$4 10000 s7 p104 60 N 
240.0000 M9$4 10000 s8 p101 60 N 
240.0000 M10$4 10000 s9 p104 60 N 
240.0000 M11$4 10000 s10 p100 60 N 
240.0000 M12$4 10000 s11 p103 60 N 
240.0000 M13$4 10000 s12 p102 60 N 
240.0000 M14$4 10000 s13 p101 60 N 
240.0000 M15$4 10000 s14 p104 60 N 
240.0000 M16$4 10000 s15 p102 60 N 
240.0000 M17$4 10000 s16 p102 60 N 
240.0000 M18$4 10000 s17 p100 60 N 
240.0000 M19$4 10000 s18 p103 60 N 
240.0000 M20$4 10000 s19 p103 60 N 
240.0000 M21$4 10000 s20 p101 60 N 
240.0000 M22$4 10000 s21 p103 60 N 
240.0000 M23$4 10000 s22 p103 60 N 
240.0000 M24$4 10000 s23 p103 60 N 
240.0000 M25$4 10000 s24 p101 60 N 
240.0000 M26$4 10000 s25 p103 60 N 
240.0000 M27$4 10000 s26 p100 60 N 
240.0000 M28$4 10000 s27 p104 60 N 
240.0000 M29$4 10000 s28 p102 60 N 
240.0000 M30$4 10000 s29 p103 60 N 
240.0000 M31$4 10000 s30 p102 60 N 
240.0000 M32$4 10000 s31 p100 60 N 
240.0000 M33$4 10000 s32 p100 60 N 
240.0000 M34$4 10000 s33 p103 60 N 
240.0000 M35$4 10000 s34 p102 60 N 
240.0000 M36$4 10000 s35 p100 60 N 
240.0000 M37$4 10000 s36 p102 60 N 
240.0000 M38$4 10000 s37 p103 60 N 
240.0000 M39$4 10000 s38 p101 60 N 
240.0000 M40$4 10000 s39 p101 60 N 
240.0000 M41$4 10000 s40 p104 60 N 
240.0000 M42$4 10000 s41 p104 60 N 
240.0000 M43$4 10000 s42 p102 60 N 
240.0000 M44$4 10000 s43 p104 60 N 
240.0000 M45$4 10000 s44 p102 60 N 
240.0000 M46$4 10000 s45 p101 60 N 
240.0000 M47$4 10000 s46 p101 60 N 
240.0000 M48$4 10000 s47 p103 60 N 
240.0000 M49$4 10000 s48 p101 60 N 
240.0000 M50$4 10000 s49 p104 60 N 
300.0000 M1$5 10000 s0 p103 60 N 
300.0000 M2$5 10000 s1 p101 60 N 
300.0000 M3$5 10000 s2 p103 60 N 
300.0000 M4$5 10000 s3 p102 60 N 
300.0000 M5$5 10000 s4 p103 60 N 
300.0000 M6$5 10000 s5 p101 60 N 
300.0000 M7$5 10000 s6 p103 60 N 
300.0000 M8$5 10000 s7 p102 60 N 
300.0000 M9$5 10000 s8 p100 60 N 
300.0000 M10$5 10000 s9 p103 60 N 
300.0000 M11$5 10000 s10 p102 60 N 
300.0000 M12$5 10000 s11 p102 60 N 
300.0000 M13$5 10000 s12 p101 60 N 
300.0000 M14$5 10000 s13 p103 60 N 
300.0000 M15$5 10000 s14 p104 60 N 
300.0000 M16$5 10000 s15 p101 60 N 
300.0000 M17$5 10000 s16 p101 60 N 
300.0000 M18$5 10000 s17 p102 60 N 
300.0000 M19$5 10000 s18 p103 60 N 
300.0000 M20$5 10000 s19 p103 60 N 
300.0000 M21$5 10000 s20 p100 60 N 
300.0000 M22$5 10000 s21 p102 60 N 
300.0000 M23$5 10000 s22 p103 60 N 
300.0000 M24$5 10000 s23 p103 60 N 
300.0000 M25$5 10000 s24 p103 60 N 
300.0000 M26$5 10000 s25 p102 60 N 
300.0000 M27$5 10000 s26 p101 60 N 
300.0000 M28$5 10000 s27 p100 60 N 
300.0000 M29$5 10000 s28 p102 60 N 
300.0000 M30$5 10000 s29 p101 60 N 
300.0000 M31$5 10000 s30 p103 60 N 
300.0000 M32$5 10000 s31 p103 60 N 
300.0000 M33$5 10000 s32 p102 60 N 
300.0000 M34$5 10000 s33 p102 60 N 
300.0000 M35$5 10000 s34 p100 60 N 
300.0000 M36$5 10000 s35 p102 60 N 
300.0000 M37$5 10000 s36 p102 60 N 
300.0000 M38$5 10000 s37 p101 60 N 
300.0000 M39$5 10000 s38 p100 60 N 
300.0000 M40$5 10000 s39 p104 60 N 
300.0000 M41$5 10000 s40 p101 60 N 
300.0000 M42$5 10000 s41 p101 60 N 
300.0000 M43$5 10000 s42 p103 60 N 
300.0000 M44$5 10000 s43 p102 60 N 
300.0000 M45$5 10000 s44 p102 60 N 
300.0000 M46$5 10000 s45 p102 60 N 
300.0000 M47$5 10000 s46 p103 60 N 
300.0000 M48$5 10000 s47 p100 60 N 
300.0000 M49$5 10000 s48 p102 60 N 
300.0000 M50$5 10000 s49 p100 60 N 
360.0000 M1$6 10000 s0 p104 60 N 
360.0000 M2$6 10000 s1 p102 60 N 
360.0000 M3$6 10000 s2 p101 60 N 
360.0000 M4$6 10000 s3 p104 60 N 
360.0000 M5$6 10000 s4 p102 60 N 
360.0000 M6$6 10000 s5 p100 60 N 
360.0000 M7$6 10000 s6 p103 60 N 
360.0000 M8$6 10000 s7 p101 60 N 
360.0000 M9$6 10000 s8 p100 60 N 
360.0000 M10$6 10000 s9 p101 60 N 
360.0000 M11$6 10000 s10 p104 60 N 
360.0000 M12$6 10000 s11 p102 60 N 
360.0000 M13$6 10000 s12 p100 60 N 
360.0000 M14$6 10000 s13 p104 60 N 
360.0000 M15$6 10000 s14 p101 60 N 
360.0000 M16$6 10000 s15 p100 60 N 
360.0000 M17$6 10000 s16 p103 60 N 
360.0000 M18$6 10000 s17 p101 60 N 
360.0000 M19$6 10000 s18 p103 60 N 
360.0000 M20$6 10000 s19 p100 60 N 
360.0000 M21$6 10000 s20 p103 60 N 
360.0000 M22$6 10000 s21 p101 60 N 
360.0000 M23$6 10000 s22 p104 60 N 
360.0000 M24$6 10000 s23 p102 60 N 
