# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
60.0000 M8$1 10000 33 0.0000 s7 p101 60 N s7->s60->s86->s45->s65->s93->s18->c200->s4->s38->c110->s19->c121->c217->c127->c248->c176->c143->c152->c171->c251->c227->c211->c225->c125->c189->c239->c134->c140->s40->s25->s73->c151->p101
60.0000 M20$1 10000 25 0.0000 s19 p101 60 N s19->s38->c110->s4->c121->c217->c127->c248->c176->c143->c152->c171->c251->c227->c211->c225->c125->c189->c239->c134->c140->s40->s25->s73->c151->p101
60.0000 M26$1 10000 3 0.0000 s25 p101 60 N s25->s73->c151->p101
62.0000 M49$1 10000 48 2.0000 s48 p101 59 N s48->s15->c155->c169->c202->s68->c220->c212->s43->s41->s61->c193->s7->s60->s86->s45->s65->s93->s18->c200->s4->s38->c110->s19->c121->c217->c138->c192->s17->s97->c199->c134->c239->c125->c143->c152->c171->c251->c227->c225->c211->c189->c184->c248->c176->s40->s25->c151->p101
62.0000 M16$1 10000 48 2.0000 s15 p101 59 N s15->s48->c155->c169->c202->s68->c220->c212->s43->s41->s61->c193->s7->s60->s86->s45->s65->s93->s18->c200->s4->s38->c110->s19->c121->c217->c138->c192->s17->s97->c199->c134->c239->c125->c143->c152->c171->c251->c227->c225->c211->c189->c184->c248->c176->s40->s25->c151->p101
62.6000 M50$1 10000 31 2.6000 s49 p103 59 N s49->c113->c216->s6->s77->c222->c201->c141->s37->c130->c168->c197->c195->c148->s66->s83->c229->c250->s56->c194->c106->c114->c159->c253->c209->c123->c139->c120->c228->c243->c204->p103
71.2000 M2$1 10000 28 11.2000 s1 p102 59 N s1->c141->s37->c130->c168->c197->c195->c148->s66->s83->c229->c250->s56->c194->c177->c201->c222->s6->s77->c216->c113->s49->s79->s63->s88->s44->c166->c244->p102
71.2000 M32$1 10000 2 11.2000 s31 p102 59 N s31->c244->p102
79.3000 M13$1 10000 17 19.3000 s12 p103 59 N s12->c150->s1->c141->s37->s66->s83->c229->c250->s56->c177->c197->c188->c130->c142->c168->c204->p103
94.7000 M21$1 10000 16 34.7000 s20 p104 59 N s20->s84->s30->s42->s13->c212->c220->s68->c202->s15->s48->c155->c230->c133->c160->c161->p104
